ID,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
84,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,22.9
85,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62,23.9
86,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
87,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
88,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2
89,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6
90,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
91,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,22.6
94,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,25
95,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6
97,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4
101,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5
102,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5
103,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6
104,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44,19.3
107,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
108,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,14.09,20.4
109,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
110,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
112,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8
115,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45,18.5
117,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,12.04,21.2
118,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3,19.2
119,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,15.37,20.4
120,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,13.61,19.3
121,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22
122,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
123,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
124,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3
125,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,18.8
127,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26,15.7
128,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,17.19,16.2
129,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18
132,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6
134,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
135,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,17.31,15.6
137,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
138,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
139,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32,13.3
140,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8
142,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,34.41,14.4
143,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82,13.4
146,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,27.8,13.8
148,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53,14.6
149,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8
150,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45,15.4
151,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,14.1,21.5
154,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
155,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,15.12,17
157,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,16.14,13.1
159,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,6.43,24.3
160,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,7.39,23.3
161,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,5.5,27
162,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50
164,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32,50
165,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,11.64,22.7
166,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25
167,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7,50
168,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14,23.8
170,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
171,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43,17.4
172,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
173,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
174,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,9.04,23.6
175,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
176,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4
177,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
178,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,6.29,24.6
179,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
180,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04,37.2
181,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
182,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
183,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
184,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68,32.5
187,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45,50
188,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68,32
190,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
191,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1,37
192,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
193,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,2.87,36.4
194,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03,31.1
195,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38,29.1
198,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,8.61,30.3
201,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,4.45,32.9
202,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43,24.1
204,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
205,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,2.88,50
206,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,10.87,22.6
207,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,10.97,24.4
209,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
212,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
214,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
215,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7
217,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,13.51,23.3
222,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.46,21.7
223,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,9.93,27.5
224,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,7.6,30.1
225,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
226,6.2,0,0.504,8.725,83,2.8944,8,307,17.4,4.63,50
227,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,3.13,37.6
228,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
230,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5
231,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
233,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
234,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3
235,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,8.05,29
236,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88,24
237,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54,25.1
241,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,11.38,22
243,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
244,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19,23.7
245,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
247,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
249,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
250,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56,26.2
251,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,5.9,24.4
252,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
254,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8
261,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,9.59,33.8
262,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,7.26,43.1
263,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,5.91,48.8
264,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,11.25,31
265,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1,36.5
266,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,10.45,22.8
267,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79,30.7
269,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16,43.5
272,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,6.59,25.2
273,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,7.73,24.4
274,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,6.58,35.2
275,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,3.53,32.4
280,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85,35.1
282,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59,35.4
283,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01,46
284,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,3.16,50
285,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2
286,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22
287,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1
289,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6,22.3
291,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33,28.5
293,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7,27.9
294,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,8.58,23.9
297,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1
298,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
302,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
303,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4
304,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
305,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
306,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
307,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
309,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
310,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
311,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
312,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1
313,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
316,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
317,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
318,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8
319,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36,23.1
321,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8
325,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25
326,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
328,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
329,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
331,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
334,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68,22.2
335,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,6.75,20.7
337,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5
339,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
340,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19
341,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
342,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,5.49,32.7
343,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65,16.5
344,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
345,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,4.61,31.2
348,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36,23.1
349,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5
350,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89,26.6
353,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,7.79,18.6
357,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6,17.8
358,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27,21.7
359,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48,22.7
360,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6
361,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
363,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
366,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5
367,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14,21.9
368,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,13.33,23.1
369,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26,50
371,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50
372,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
373,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50
374,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77,13.8
375,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
377,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24,13.9
378,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
383,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6,11.3
384,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56,12.3
385,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
387,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28,10.5
388,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,31.99,7.4
390,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85,11.5
392,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
393,18.1,0,0.7,5.036,97,1.77,24,666,20.2,25.68,9.7
395,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
397,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5
399,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59,5
401,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,26.77,5.6
402,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32,7.2
404,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,19.77,8.3
408,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,12.13,27.9
409,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,26.4,17.2
414,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08,16.3
415,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98,7
416,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,29.05,7.2
418,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,26.64,10.4
419,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,20.62,8.8
420,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
425,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
426,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39,8.3
428,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52,10.9
429,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11
430,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
432,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
433,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
434,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
435,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17,11.7
438,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45,8.7
440,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
441,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11,10.5
442,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52,17.1
443,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4
444,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4
445,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8
446,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98,11.8
448,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
449,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13,14.1
452,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73,15.2
453,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27,16.1
454,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74,17.8
456,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
458,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94,13.5
459,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,16.23,14.9
460,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20
461,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,16.42,16.4
462,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7
463,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,13.99,19.5
464,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
465,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
466,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13,19.9
467,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15,19
468,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32,19.1
469,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
470,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,14.76,20.1
472,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
473,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36,23.2
475,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14,13.8
477,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68,16.7
478,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91,12
479,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
480,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11,21.4
481,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
482,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
484,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
485,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6
487,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98,19.1
488,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
489,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2
491,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,29.68,8.1
492,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
493,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,13.35,20.1
494,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,12.01,21.8
498,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3
500,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
502,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,9.67,22.4
503,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,9.08,20.6
504,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9
506,11.93,0,0.573,6.03,80.8,2.505,1,273,21,7.88,11.9
